Training started at 2025-04-03 07:23:56
Model: VAE with latent_dim=2
Batch size: 256, Image size: 28x28
Total epochs: 500

Epoch,Avg_Loss,Recon_Loss,KL_Loss
1,251.038493,49.546635,53.395100
2,177.309225,41.881012,48.690613
3,165.049167,41.956238,32.088013
4,157.619906,39.101364,27.177898
5,151.547687,37.680656,26.283850
6,147.592374,38.327858,22.960987
7,144.652996,35.186939,23.015308
8,142.201036,38.258987,22.005604
9,140.088305,34.442226,23.578419
10,138.564685,33.915585,22.497440
11,137.314041,35.125198,23.299639
12,136.264611,36.122749,21.885620
13,135.345214,35.139835,21.850269
14,134.713019,34.464996,21.001961
15,133.882068,37.053883,19.586832
16,133.274768,33.814323,21.178185
17,132.506745,33.329185,21.336384
18,132.063518,35.291534,20.595030
19,131.391427,32.195053,20.121006
20,130.968186,36.311790,19.066513
21,130.459524,33.633530,20.245045
22,130.112836,37.350204,19.114025
23,129.576925,34.355606,20.629549
24,129.202098,32.597721,21.040836
25,128.619525,30.737429,21.104221
26,128.242495,33.958984,20.316864
27,128.005849,34.345703,18.600933
28,127.823597,33.543949,20.125774
29,127.337505,33.761074,18.770771
30,126.937851,30.030544,20.793701
31,126.774682,31.959726,21.554628
32,126.598886,33.793686,17.029564
33,126.253207,31.427492,22.365826
34,125.802739,30.089403,20.522295
35,125.539999,31.648815,18.716738
36,125.345622,33.125305,19.694118
37,125.084141,31.461477,19.787506
38,124.908309,31.649170,19.971767
39,124.666346,32.473602,19.209436
40,124.334619,33.001968,20.087059
41,124.365583,32.308079,20.005005
42,124.070120,29.923241,20.771544
43,123.616722,30.964811,20.271456
44,123.577680,31.776917,20.632490
45,123.601384,29.932945,19.592442
46,123.354368,31.453903,18.880922
47,123.079886,30.437189,21.445248
48,122.836804,30.053772,21.837864
49,122.670243,32.046730,19.569275
50,122.542498,32.922680,19.757423
51,122.394858,30.843901,20.335773
52,122.404275,30.717997,23.909473
53,122.220816,31.250866,19.539993
54,121.798095,30.712791,19.447586
55,121.843844,29.653088,20.434046
56,121.545999,32.893944,19.710037
57,121.383721,30.590616,21.171013
58,121.368574,33.924923,18.306505
59,121.346314,29.478352,21.604942
60,121.084442,32.712608,18.958809
61,120.873169,30.000990,21.945499
62,120.610519,29.709238,19.336163
63,120.674959,32.579025,18.998066
64,120.879880,31.433849,18.661190
65,120.435214,31.491596,19.067312
66,120.354165,30.141371,19.622007
67,120.230763,28.440233,20.609112
68,120.019310,28.084599,20.781563
69,119.963738,32.791920,20.355602
70,119.851219,28.203201,20.365149
71,119.840257,30.918537,19.841805
72,119.710910,30.878658,19.716026
73,119.621287,31.168785,19.629398
74,119.428038,31.579414,19.413162
75,119.402807,31.027660,20.741739
76,119.415873,31.330589,18.949009
